A,．━,,,,,,,,,,,,,,,,,,,,,
E,．,,,,,,,,,,,,,,,,,,,,,
I,．．,,,,,,,,,,,,,,,,,,,,,
M,━ ━,,,,,,,,,,,,,,,,,,,,,
Q,━ ━ ．━,,,,,,,,,,,,,,,,,,,,,
U,．．━,,,,,,,,,,,,,,,,,,,,,
Y,━ ．━ ━,,,,,,,,,,,,,,,,,,,,,
B,━ ．．．,,,,,,,,,,,,,,,,,,,,,
F,．．━ ．,,,,,,,,,,,,,,,,,,,,,
J,．━ ━ ━,,,,,,,,,,,,,,,,,,,,,
N,━ ．,,,,,,,,,,,,,,,,,,,,,
R,．━ ．,,,,,,,,,,,,,,,,,,,,,
V,．．．━,,,,,,,,,,,,,,,,,,,,,
Z,━ ━ ．．,,,,,,,,,,,,,,,,,,,,,
C,━ ．━ ．,,,,,,,,,,,,,,,,,,,,,
G,━ ━ ．,,,,,,,,,,,,,,,,,,,,,
K,━ ．━,,,,,,,,,,,,,,,,,,,,,
O,━ ━ ━,,,,,,,,,,,,,,,,,,,,,
S,．．．,,,,,,,,,,,,,,,,,,,,,
W,．━ ━,,,,,,,,,,,,,,,,,,,,,
D,━ ．．,,,,,,,,,,,,,,,,,,,,,
H,．．．．,,,,,,,,,,,,,,,,,,,,,
L,．━ ．．,,,,,,,,,,,,,,,,,,,,,
P,．━ ━ ．,,,,,,,,,,,,,,,,,,,,,
T,━,,,,,,,,,,,,,,,,,,,,,
X,━ ．．━,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
